Date,Product Category,Units Sold,Revenue,Region,Customer Age,Customer Gender,Timestamp
2023-10-07,Sports,83,38013.24883675529,South,48.0,Male,2023-10-07 15:35:18
2023-08-05,Books,50,7053.293953295596,East,52.0,Male,2023-08-05 07:37:18
2023-09-09,Sports,25,3108.6581814814554,North,58.0,Male,2023-09-09 09:31:39
2023-07-07,Home & Kitchen,38,2324.1988925761557,West,58.0,Male,2023-07-07 21:02:51
2023-02-10,Clothing,95,13369.85073575782,East,21.0,Female,2023-02-10 22:21:34
2023-06-06,Home & Kitchen,36,9811.375498427406,North,37.0,Male,2023-06-06 01:26:58
2023-01-15,Sports,68,28426.106830699515,North,60.0,Female,2023-01-15 15:08:02
2023-10-28,Books,56,8210.279207325626,West,34.0,Female,2023-10-28 17:45:24
2023-03-06,Sports,39,12260.06927511458,South,63.0,,2023-03-06 17:48:40
2023-12-11,Books,63,15434.96488347174,North,27.0,Female,2023-12-11 12:45:14
2023-11-23,Books,7,1059.8261093189567,South,54.0,Male,2023-11-23 10:06:24
2023-01-09,Electronics,58,15084.405087551873,South,38.0,Female,2023-01-09 00:46:14
2023-12-10,Clothing,80,7384.125938718385,South,38.0,Female,2023-12-10 05:24:37
2023-05-09,Sports,59,19080.187255220662,East,66.0,Female,2023-05-09 07:20:32
2023-05-16,Books,48,3200.3872022441683,South,33.0,Male,2023-05-16 06:59:05
2023-03-04,Sports,5,1840.9022866009086,South,50.0,Male,2023-03-04 03:56:35
2023-05-19,Sports,87,8445.891479574171,North,,Male,2023-05-19 03:15:22
2023-03-22,Books,36,17967.527464509618,West,61.0,Female,2023-03-22 23:47:23
2023-06-12,Home & Kitchen,96,39705.55885752978,East,35.0,Male,2023-06-12 19:10:51
2023-10-16,Clothing,88,15706.393902431224,South,50.0,Female,2023-10-16 10:56:20
2023-09-18,Clothing,25,5471.008460544075,West,46.0,Female,2023-09-18 07:14:20
2023-08-19,Electronics,45,6165.16201542453,South,48.0,Female,2023-08-19 08:08:17
2023-02-10,Electronics,92,35501.52441799436,South,41.0,Female,2023-02-10 10:34:41
2023-01-28,Electronics,19,3734.568090306876,North,29.0,Male,2023-01-28 15:45:12
2023-05-15,Clothing,7,2660.2862986810073,West,37.0,Male,2023-05-15 06:43:56
2023-07-20,Home & Kitchen,58,1102.9721840107318,North,23.0,Female,2023-07-20 12:02:54
2023-11-24,Clothing,81,6192.795882737405,North,25.0,Female,2023-11-24 21:40:03
2023-09-25,Clothing,66,12463.269984281067,South,31.0,Female,2023-09-25 12:13:02
2023-02-02,Clothing,80,5069.214509068034,South,22.0,Male,2023-02-02 13:26:16
2023-02-17,Clothing,39,11877.555932781162,South,53.0,Female,2023-02-17 21:56:22
2023-03-03,Home & Kitchen,18,628.3391090709674,West,65.0,Male,2023-03-03 02:38:48
2023-08-04,Electronics,1,431.2838673487781,West,55.0,Male,2023-08-04 14:50:32
2023-10-20,Sports,63,24131.577921597178,West,20.0,Male,2023-10-20 00:01:58
2023-04-09,Electronics,3,347.8970244650901,West,53.0,,2023-04-09 05:56:45
2023-06-21,Electronics,21,5188.218714074796,South,39.0,Male,2023-06-21 22:03:30
2023-12-26,Sports,30,6941.652252640532,South,25.0,Male,2023-12-26 05:29:18
2023-08-02,Clothing,11,4017.020276684636,North,31.0,Male,2023-08-02 02:31:11
2023-02-04,Home & Kitchen,22,4548.2659471152065,South,24.0,,2023-02-04 15:57:07
2023-08-15,Home & Kitchen,57,1489.8828683875909,West,21.0,Male,2023-08-15 02:33:18
2023-04-11,Electronics,89,12827.620804441463,East,36.0,Female,2023-04-11 22:52:37
2023-05-11,Sports,3,715.3078336984519,South,60.0,,2023-05-11 22:56:22
2023-09-14,Books,30,14625.035577561392,West,64.0,Male,2023-09-14 08:43:37
2023-01-05,Clothing,88,38875.56171907137,North,41.0,Female,2023-01-05 10:36:39
2023-08-06,Electronics,45,4450.005475248299,South,33.0,Male,2023-08-06 02:08:30
2023-09-12,Home & Kitchen,36,13118.5875902572,East,23.0,Female,2023-09-12 21:08:19
2023-12-25,Sports,87,40806.869914620394,West,61.0,,2023-12-25 15:03:52
2023-10-10,Sports,72,1030.2033878839227,South,25.0,Male,2023-10-10 14:50:37
2023-07-26,Electronics,64,23248.8563263171,West,42.0,Male,2023-07-26 15:14:58
2023-01-15,Books,54,12693.964293871224,East,49.0,Female,2023-01-15 00:16:18
2023-12-12,Home & Kitchen,68,23345.470060153264,East,42.0,Female,2023-12-12 02:26:03
2023-02-11,Electronics,50,15336.937202508861,North,27.0,,2023-02-11 11:29:40
2023-06-28,Books,31,15267.068860782105,East,60.0,Male,2023-06-28 23:32:49
2023-03-04,Sports,29,4394.066923492702,South,58.0,,2023-03-04 19:42:32
2023-12-18,Clothing,59,23317.393605840447,East,34.0,Female,2023-12-18 09:35:26
2023-08-19,Home & Kitchen,36,4499.047629842398,South,63.0,Male,2023-08-19 08:59:19
2023-08-29,Home & Kitchen,77,17205.48899296802,South,20.0,Female,2023-08-29 11:46:51
2023-02-21,Books,73,35619.37386181432,West,26.0,Male,2023-02-21 07:02:58
2023-04-06,Electronics,85,32759.576728989454,South,69.0,Male,2023-04-06 12:50:34
2023-08-10,Sports,67,11038.411843789245,South,35.0,Male,2023-08-10 05:18:12
2023-08-19,Books,89,27900.694435639936,North,66.0,Female,2023-08-19 11:43:03
2023-08-25,Clothing,89,3057.0717615560175,West,47.0,Female,2023-08-25 23:42:09
2023-05-23,Clothing,76,10680.54669496491,South,22.0,Female,2023-05-23 02:59:52
2023-06-20,Clothing,93,33667.054611236716,North,69.0,Male,2023-06-20 05:15:08
2023-01-29,Books,11,3182.804340081071,West,49.0,Male,2023-01-29 02:06:41
2023-02-05,Sports,11,2641.536677544803,East,44.0,Female,2023-02-05 16:04:08
2023-01-13,Home & Kitchen,26,9061.76100460337,South,38.0,Female,2023-01-13 17:41:29
2023-06-09,Electronics,53,10877.977394590882,East,41.0,Male,2023-06-09 00:08:53
2023-11-23,Home & Kitchen,14,319.4311514923539,West,55.0,Male,2023-11-23 08:15:35
2023-07-06,Sports,64,14470.59491344819,West,20.0,Male,2023-07-06 07:08:49
2023-08-31,Home & Kitchen,80,36163.46433789586,North,33.0,Male,2023-08-31 10:44:57
2023-03-27,Books,10,4297.414128739194,South,32.0,Male,2023-03-27 02:06:21
2023-10-11,Clothing,31,6522.667246370501,South,42.0,Male,2023-10-11 16:32:43
2023-03-07,Sports,95,1984.408067395814,North,25.0,Female,2023-03-07 20:28:22
2023-06-19,Sports,36,11584.460289022369,East,58.0,Male,2023-06-19 01:12:06
2023-02-14,Home & Kitchen,10,3731.8526961360367,West,21.0,Female,2023-02-14 22:55:14
2023-03-03,Books,26,4008.6631593136617,North,49.0,Male,2023-03-03 18:47:47
2023-05-14,Home & Kitchen,20,4871.307196271829,West,62.0,Male,2023-05-14 12:55:26
2023-10-11,Home & Kitchen,44,21824.432505540593,East,52.0,Female,2023-10-11 01:57:43
2023-01-28,Sports,62,18129.300734380966,East,,Male,2023-01-28 00:32:05
2023-04-18,Home & Kitchen,73,13287.94937551424,East,56.0,Female,2023-04-18 15:39:24
2023-02-13,Clothing,79,25080.094414739553,South,65.0,Female,2023-02-13 15:32:12
2023-12-06,Home & Kitchen,9,883.8983732706126,West,66.0,Female,2023-12-06 15:15:29
2023-10-13,Clothing,71,7641.990066222639,West,47.0,Male,2023-10-13 19:48:31
2023-11-27,Sports,90,41689.17991888815,North,34.0,Female,2023-11-27 02:59:01
2023-05-08,Books,24,3052.992484151329,West,36.0,Female,2023-05-08 02:48:06
2023-12-14,Clothing,12,1947.4415497885752,South,69.0,Male,2023-12-14 14:13:59
2023-08-19,Books,60,16587.050913910763,North,48.0,Female,2023-08-19 09:33:27
2023-07-09,Books,84,37871.34825062627,East,34.0,Female,2023-07-09 03:55:58
2023-08-13,Clothing,78,30646.97656506073,West,19.0,Male,2023-08-13 21:34:55
2023-10-10,Sports,86,2705.0544170285284,South,54.0,Female,2023-10-10 10:03:19
2023-05-01,Electronics,16,5593.352604163215,South,65.0,Male,2023-05-01 04:44:53
2023-04-26,Books,29,7452.7136689395375,West,46.0,Female,2023-04-26 20:11:12
2023-08-21,Books,32,7776.668562597328,South,,Male,2023-08-21 18:45:23
2023-09-16,Sports,83,28955.678778794838,East,60.0,,2023-09-16 03:34:09
2023-12-25,Sports,35,3715.3795926566063,West,39.0,Female,2023-12-25 07:39:37
2023-07-17,Home & Kitchen,43,21109.966143352438,West,55.0,Male,2023-07-17 02:44:22
2023-05-17,Sports,96,31315.219184016,West,28.0,Female,2023-05-17 04:19:44
2023-11-14,Books,53,10026.090854669905,North,50.0,Female,2023-11-14 07:36:36
2023-06-14,Clothing,20,6081.98163908758,East,36.0,Female,2023-06-14 17:23:51
2023-08-13,Electronics,84,9749.94073300077,South,20.0,Male,2023-08-13 14:56:06
2023-11-03,Home & Kitchen,8,2564.6601102314285,West,57.0,Male,2023-11-03 05:57:35
2023-08-22,Clothing,99,2358.8134971905497,West,39.0,Male,2023-08-22 08:58:12
2023-06-21,Electronics,42,7441.523736784176,South,35.0,Female,2023-06-21 15:14:56
2023-06-01,Electronics,77,28973.812514283418,East,62.0,Male,2023-06-01 02:53:46
2023-11-11,Electronics,70,28413.640224615,South,47.0,Female,2023-11-11 03:10:20
2023-06-09,Clothing,16,2142.8882003815097,South,18.0,Male,2023-06-09 21:27:18
2023-04-06,Home & Kitchen,69,,West,37.0,Male,2023-04-06 14:28:06
2023-08-21,Home & Kitchen,53,14254.960345226395,North,66.0,Male,2023-08-21 23:29:28
2023-06-29,Electronics,45,9743.10582260801,North,22.0,Male,2023-06-29 02:07:27
2023-04-23,Clothing,51,,North,,Female,2023-04-23 10:14:53
2023-11-14,Electronics,98,34749.01975964567,North,28.0,Male,2023-11-14 13:11:47
2023-02-21,Sports,6,801.9433443318278,North,41.0,Female,2023-02-21 16:12:13
2023-09-25,Home & Kitchen,33,15061.286169822477,West,35.0,Male,2023-09-25 19:38:42
2023-10-22,Books,79,21248.284979197237,North,25.0,Female,2023-10-22 17:13:32
2023-04-23,Electronics,15,6548.015779233071,South,46.0,Female,2023-04-23 11:44:43
2023-04-11,Sports,14,,West,39.0,Male,2023-04-11 04:18:48
2023-04-23,Home & Kitchen,39,15813.282676104369,South,62.0,Female,2023-04-23 21:51:09
2023-03-22,Clothing,63,4138.794865862768,North,19.0,Female,2023-03-22 13:01:27
2023-07-06,Home & Kitchen,5,1928.7343379181139,East,40.0,Male,2023-07-06 12:16:09
2023-04-23,Clothing,90,17964.31198170583,North,33.0,Male,2023-04-23 01:04:16
2023-01-02,Clothing,81,19463.90662520971,West,,Male,2023-01-02 01:42:38
2023-05-10,Electronics,52,4770.250520213915,South,25.0,Female,2023-05-10 03:51:56
2023-08-08,Electronics,16,306.04107803123594,East,21.0,Male,2023-08-08 09:34:44
2023-02-23,Home & Kitchen,99,33307.240391652944,East,31.0,Male,2023-02-23 12:56:01
2023-12-09,Sports,38,11323.314436915787,East,26.0,Female,2023-12-09 02:49:44
2023-08-12,Home & Kitchen,53,16694.459109249005,South,28.0,Male,2023-08-12 06:33:22
2023-08-13,Books,87,11740.724944687592,West,65.0,Male,2023-08-13 14:32:24
2023-05-06,Clothing,77,9797.938674579591,East,55.0,Female,2023-05-06 04:17:05
2023-05-10,Clothing,97,40433.983674627336,South,61.0,Male,2023-05-10 16:47:21
2023-02-22,Electronics,93,35620.28793567363,South,68.0,Female,2023-02-22 15:04:10
2023-06-21,Sports,53,9276.439308400135,North,33.0,Male,2023-06-21 09:55:08
2023-08-06,Electronics,46,14836.140838091835,South,30.0,Female,2023-08-06 07:11:25
2023-06-09,Books,98,40747.76320018644,West,53.0,Female,2023-06-09 21:49:30
2023-07-17,Home & Kitchen,98,43661.5898153059,West,61.0,Male,2023-07-17 10:25:12
2023-09-04,Home & Kitchen,91,1168.901173943129,East,53.0,Male,2023-09-04 19:03:23
2023-11-20,Sports,15,6128.948589540223,South,34.0,Female,2023-11-20 15:34:39
2023-07-22,Electronics,59,10719.842383078627,South,31.0,Female,2023-07-22 10:17:57
2023-07-03,Electronics,50,18100.267977016327,North,46.0,Female,2023-07-03 17:17:07
2023-05-03,Books,9,1727.8800178859983,North,34.0,Male,2023-05-03 10:49:33
2023-09-12,Home & Kitchen,26,7983.61336575575,South,18.0,Female,2023-09-12 22:38:53
2023-10-21,Electronics,3,980.7701868088473,South,37.0,Female,2023-10-21 13:27:41
2023-10-07,Sports,47,9796.983514200687,South,50.0,,2023-10-07 07:41:39
2023-11-21,Home & Kitchen,5,1306.3240612874747,North,19.0,Male,2023-11-21 05:46:18
2023-04-08,Books,62,22685.400238904334,North,34.0,Female,2023-04-08 05:52:09
2023-07-17,Sports,84,20444.724859480524,West,40.0,Female,2023-07-17 12:36:17
2023-08-28,Clothing,84,1415.4367661054566,East,39.0,Female,2023-08-28 12:41:08
2023-05-24,Books,5,81.61528264391364,East,18.0,Male,2023-05-24 21:37:18
2023-04-07,Sports,10,3340.4231652420285,East,29.0,Male,2023-04-07 13:14:59
2023-07-20,Electronics,80,34011.71146825945,East,30.0,Female,2023-07-20 18:34:25
2023-05-04,Clothing,63,24871.39410305707,North,31.0,Male,2023-05-04 02:00:08
2023-07-06,Books,25,,North,27.0,Male,2023-07-06 16:34:40
2023-11-22,Electronics,44,10597.517200534337,South,29.0,Male,2023-11-22 00:28:21
2023-12-15,Clothing,25,3118.4690662454204,West,39.0,Male,2023-12-15 04:05:13
2023-09-16,Home & Kitchen,30,14840.503686800086,West,35.0,Male,2023-09-16 14:50:39
2023-05-28,Electronics,14,1927.0742419251908,East,56.0,,2023-05-28 22:17:45
2023-09-09,Sports,86,18401.263522672307,South,36.0,Female,2023-09-09 05:51:31
2023-12-12,Books,43,14781.387004403068,South,47.0,Female,2023-12-12 06:48:17
2023-05-27,Clothing,28,12298.962427608645,North,32.0,Male,2023-05-27 03:30:02
2023-05-28,Electronics,94,3310.970008132309,South,56.0,Female,2023-05-28 08:51:23
2023-12-18,Home & Kitchen,19,2992.4931838125003,West,31.0,Female,2023-12-18 06:24:57
2023-07-18,Books,42,12129.728751108594,West,26.0,Female,2023-07-18 21:40:40
2023-11-04,Books,20,6259.468197486598,South,22.0,Male,2023-11-04 08:13:36
2023-05-08,Electronics,99,4387.031041628248,North,,Male,2023-05-08 05:08:32
2023-02-08,Home & Kitchen,86,28844.278012664967,West,65.0,Female,2023-02-08 20:02:31
2023-12-04,Clothing,79,21231.37159270791,North,22.0,Female,2023-12-04 15:34:18
2023-12-26,Electronics,11,4570.911574761959,North,41.0,Female,2023-12-26 13:14:26
2023-05-09,Clothing,54,6419.125602471637,West,25.0,Female,2023-05-09 04:40:12
2023-09-24,Books,98,,North,36.0,Female,2023-09-24 11:28:49
2023-05-31,Clothing,24,9569.64572987276,East,69.0,Female,2023-05-31 13:45:12
2023-10-25,Home & Kitchen,70,24842.711122628836,East,29.0,Male,2023-10-25 09:32:01
2023-04-09,Sports,17,6764.63909361203,East,25.0,Female,2023-04-09 01:45:21
2023-09-20,Home & Kitchen,28,11008.13641490525,South,25.0,Male,2023-09-20 14:58:17
2023-09-09,Clothing,50,3048.016557846287,West,55.0,Female,2023-09-09 18:25:06
2023-05-24,Electronics,95,13918.040851775473,East,37.0,Female,2023-05-24 01:35:44
2023-12-12,Books,55,,North,46.0,Female,2023-12-12 05:34:13
2023-04-22,Sports,73,34160.18705628036,East,58.0,Male,2023-04-22 14:53:53
2023-03-01,Electronics,10,2488.5862128466933,North,,Male,2023-03-01 07:37:47
2023-01-02,Electronics,21,1352.7778954831788,West,35.0,,2023-01-02 18:14:36
2023-10-31,Home & Kitchen,58,8809.804086531132,East,18.0,Male,2023-10-31 20:37:51
2023-09-11,Clothing,34,14865.881464284414,West,28.0,,2023-09-11 03:40:08
2023-05-20,Home & Kitchen,95,40380.93990359533,East,64.0,Male,2023-05-20 01:50:42
2023-02-06,Clothing,93,41958.47026038529,North,,Female,2023-02-06 20:52:53
2023-06-09,Home & Kitchen,43,8616.301241569012,North,52.0,Female,2023-06-09 00:15:13
2023-01-09,Electronics,11,3566.8277824310817,South,68.0,Female,2023-01-09 11:12:33
2023-08-21,Books,33,4828.072284383984,South,69.0,,2023-08-21 22:09:35
2023-04-09,Clothing,58,5719.055911350465,South,49.0,Male,2023-04-09 05:52:10
2023-05-27,Sports,46,953.6502513803329,East,68.0,Female,2023-05-27 01:18:13
2023-10-31,Sports,61,7288.649986214656,West,59.0,Female,2023-10-31 18:49:01
2023-07-27,Electronics,62,18980.88627878725,East,33.0,Male,2023-07-27 08:23:28
2023-05-11,Home & Kitchen,1,453.0630536673284,North,23.0,Female,2023-05-11 10:48:37
2023-06-01,Home & Kitchen,21,1582.8974925868959,West,26.0,Female,2023-06-01 15:31:25
2023-02-23,Electronics,62,28509.191222130128,North,57.0,Female,2023-02-23 07:52:23
2023-04-30,Sports,64,11471.280965577182,South,39.0,Female,2023-04-30 04:19:14
2023-06-10,Sports,87,19065.695016598493,North,65.0,Male,2023-06-10 11:39:18
2023-04-26,Home & Kitchen,73,13785.282392567071,East,25.0,Female,2023-04-26 10:41:34
2023-03-16,Clothing,56,11772.207359396674,North,49.0,Female,2023-03-16 20:20:13
2023-04-23,Books,1,137.00464310195596,North,43.0,Male,2023-04-23 20:43:39
2023-04-14,Clothing,21,,North,35.0,Male,2023-04-14 09:22:04
2023-12-06,Sports,22,8393.213928712401,West,54.0,Female,2023-12-06 03:38:37
2023-09-11,Clothing,54,22319.567091950925,North,69.0,Female,2023-09-11 16:12:05
2023-08-15,Books,4,708.9275833855354,North,29.0,Male,2023-08-15 20:25:42
2023-04-22,Clothing,65,25003.366479235265,South,55.0,,2023-04-22 19:01:54
2023-04-09,Clothing,51,16445.507183345613,South,51.0,Male,2023-04-09 02:02:18
2023-06-02,Clothing,74,35474.037308832645,East,21.0,Female,2023-06-02 03:50:28
2023-12-15,Clothing,63,13743.118095984164,South,33.0,Female,2023-12-15 21:56:15
2023-12-04,Electronics,15,7443.476499942656,North,41.0,Female,2023-12-04 14:31:09
2023-07-13,Sports,36,13420.550689338852,South,31.0,Female,2023-07-13 07:29:39
2023-11-06,Books,29,11320.906897967352,West,34.0,Female,2023-11-06 18:39:55
2023-06-12,Sports,52,1174.9598355941623,East,68.0,Female,2023-06-12 11:34:46
2023-07-27,Electronics,46,11671.358839115614,South,48.0,Male,2023-07-27 22:43:47
2023-06-18,Electronics,69,18553.06424326957,East,21.0,Male,2023-06-18 01:38:11
2023-06-10,Electronics,29,866.9274482917202,East,67.0,Female,2023-06-10 14:03:40
2023-03-09,Electronics,47,7658.382076987482,East,61.0,Male,2023-03-09 10:35:45
2023-10-16,Clothing,91,43522.174014193435,West,51.0,Male,2023-10-16 12:32:36
2023-10-04,Sports,25,5469.865095411661,North,55.0,Male,2023-10-04 17:06:42
2023-10-31,Home & Kitchen,80,8118.717794685652,West,55.0,Female,2023-10-31 20:03:57
2023-05-15,Books,16,4184.57546308704,East,20.0,Male,2023-05-15 09:23:15
2023-07-14,Electronics,89,2362.5168225844895,South,25.0,Male,2023-07-14 01:32:43
2023-05-08,Sports,41,10776.212982414521,South,29.0,Male,2023-05-08 19:46:55
2023-02-02,Electronics,65,19577.445547058298,West,52.0,Female,2023-02-02 01:31:35
2023-06-25,Electronics,69,12783.64639791714,South,19.0,Female,2023-06-25 18:37:55
2023-01-22,Electronics,20,7673.246741316884,East,46.0,Male,2023-01-22 15:16:21
2023-08-26,Electronics,69,5278.4929434039905,East,,Female,2023-08-26 01:00:34
2023-06-07,Electronics,36,15851.155350295488,North,,Female,2023-06-07 15:08:51
2023-02-07,Books,93,44469.62456649145,East,67.0,Female,2023-02-07 16:35:33
2023-08-18,Sports,98,1039.2818714307073,South,35.0,Female,2023-08-18 23:31:04
2023-12-31,Electronics,58,24530.149578426586,North,57.0,Male,2023-12-31 12:07:34
2023-02-20,Electronics,48,12383.593102300483,South,39.0,Female,2023-02-20 13:20:47
2023-09-21,Electronics,82,19359.278367631603,West,31.0,Male,2023-09-21 03:38:52
2023-10-10,Electronics,2,253.90552473689348,North,46.0,Male,2023-10-10 18:46:02
2023-01-27,Clothing,80,18335.141611576153,East,62.0,Female,2023-01-27 19:45:46
2023-08-14,Clothing,29,13795.569796244254,North,32.0,Female,2023-08-14 05:32:23
